Generation: 10
Player 1 Weights: -11.395026066905064, 11.801750193419899, -1.8206283259016045, -14.059510995275849
Player 2 Weights: -8.664296935500428, 10.123393566541282, -3.1766292998918497, -12.631560318172859
Player 3 Weights: -0.18447449509312897, -0.14350653777115352, 0.5889472781687759, 0.4929463465950863
Player 4 Weights: 0.9346087015018953, 0.7853813432436867, -0.8512363179854754, 0.050121257519494256
Player 5 Weights: -0.5463180680502422, 0.20382065533740823, -0.23895614932450093, -0.1363543579792046
Player 6 Weights: -0.6500538303482419, -0.6122648154034147, 0.8518460985651988, -0.2834337009704744
Player 7 Weights: -0.24635242880049968, 0.2572915826117439, -0.6368854316725554, -0.19984512359046924
Player 8 Weights: -10.894096895725545, 11.51379603103846, -2.368343131972847, -13.822057712692944
Player 9 Weights: -11.026351834714669, 11.457728184364706, -2.219620063964001, -13.237873302251542
Player 10 Weights: -9.92616117628339, 10.492632683752637, -2.719831207168737, -13.413700019013524
Player 11 Weights: -9.598764588329283, 10.627196524068392, -2.4376610607602323, -12.84045606049553
Player 12 Weights: -11.049511424788676, 10.388683983364354, -3.009256985900658, -12.84424416869033
